"year","current_mapping_unconstrained_va_Rbn","current_mapping_constraint_adj_va_Rbn","current_mapping_final_va_Rbn","supplier_mapping_unconstrained_va_Rbn","supplier_mapping_constraint_adj_va_Rbn","supplier_mapping_final_va_Rbn","supplier_mapping_final_output_Rbn"
2025,-0.0459672097414732,56.0026744696185,55.956707259877,-0.0459672097414732,56.0026744696185,55.956707259877,195.860356282367
2030,631.496554360103,-72.4687848808668,559.027769479236,627.883697403033,-17.5781914467365,610.305505956297,1447.88337231807
2035,556.236646307819,-145.482640018385,410.754006289434,551.313382370838,-107.836168904241,443.477213466597,999.642033029727
2040,549.895949069395,-258.205114707466,291.690834361929,543.901636003346,-219.560445623995,324.341190379351,609.987709927676
2045,269.698613560287,-334.199304231199,-64.5006906709121,269.344018354154,-327.717276789775,-58.3732584356209,-388.559581297049
2050,504.956631813833,-560.07274009353,-55.1161082796967,506.225765037099,-538.581720732817,-32.3559556957176,-391.764322655018
