"year","variant","sector","sector_name","unconstrained_output_change_Rbn","hard_output_change_Rbn"
2025,"current","S52","Alojamento",3.51447474222137,3.63760770293863
2025,"current","S53","Alimentação",35.0582936692204,35.2239868294525
2025,"current","S59","Atividades imobiliárias",80.9906548870698,81.709363607728
2025,"current","S66","Administração pública, defesa e seguridade social",108.711612700504,109.096079786433
2025,"current","S67","Educação pública",44.4523604175093,44.4691160627767
2025,"current","S68","Educação privada",18.1535452365886,18.3379049876395
2025,"current","S69","Saúde pública",25.6665266849559,25.6675344945524
2025,"current","S70","Saúde privada",38.3478498802422,38.349554115186
2025,"no_real_estate","S52","Alojamento",3.51447391945425,3.63760697926587
2025,"no_real_estate","S53","Alimentação",35.0582910460421,35.2239854602695
2025,"no_real_estate","S59","Atividades imobiliárias",80.9906451222183,81.7093585267856
2025,"no_real_estate","S66","Administração pública, defesa e seguridade social",108.711607564065,109.096076771472
2025,"no_real_estate","S67","Educação pública",44.4523597418925,44.469115888683
2025,"no_real_estate","S68","Educação privada",18.1535428905002,18.3379038464186
2025,"no_real_estate","S69","Saúde pública",25.6665266248898,25.6675344811764
2025,"no_real_estate","S70","Saúde privada",38.3478498562561,38.3495541029987
2025,"hospitality_only","S52","Alojamento",3.51445031359796,3.63759581978395
2025,"hospitality_only","S53","Alimentação",35.058217367801,35.2239643466209
2025,"hospitality_only","S59","Atividades imobiliárias",80.9904487797445,81.7092801755086
2025,"hospitality_only","S66","Administração pública, defesa e seguridade social",108.711502911156,109.096030278896
2025,"hospitality_only","S67","Educação pública",44.4523431714473,44.4691132040505
2025,"hospitality_only","S68","Educação privada",18.1534913386466,18.3378862480867
2025,"hospitality_only","S69","Saúde pública",25.6665251279145,25.6675342749093
2025,"hospitality_only","S70","Saúde privada",38.3478493686075,38.3495539150621
2030,"current","S52","Alojamento",7.82288437335672,7.69668603936442
2030,"current","S53","Alimentação",63.3852016663738,63.1952509878716
2030,"current","S59","Atividades imobiliárias",150.174620511722,149.226190853098
2030,"current","S66","Administração pública, defesa e seguridade social",195.925301834029,195.540354111582
2030,"current","S67","Educação pública",79.1829444238472,79.1518211725116
