"year","cod","sector","baseline_dx_Rm","rewiring_dx_Rm","unconstrained_dx_Rm","ndc_target_dx_Rm","hard_constrained_dx_Rm","current_engine3_dx_Rm","rewiring_effect_Rm","investment_effect_after_rewiring_Rm","required_constraint_adjustment_Rm","balancing_final_demand_Rm","hard_constraint_error_Rm","current_engine3_error_Rm"
2025,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",30293.7191745414,28416.8566168683,28416.8566168683,60021.1320700823,60021.1320700823,68497.0373902994,-1876.86255767307,0,31604.275453214,13032.3371713283,-0.00000000000727595761418343,8475.90532021708
2025,"S19","Derivados de petróleo",55785.4317516109,53651.3169665794,53651.3169665794,134739.45909809,134739.45909809,163260.14096616,-2134.11478503158,0,81088.142131511,59866.5772967279,0,28520.6818680701
2025,"S40","Geração centralizada de energia elétrica",30450.76358086,30661.9199677481,30661.9199677481,49863.2996449897,49863.2996449897,64378.8735279376,211.156386888189,0,19201.3796772415,13470.643719175,0,14515.5738829479
2025,"S42","Transmissão",2199.68004479683,2214.87767390897,2214.87767390897,3604.86603780641,3604.86603780641,4654.14145386755,15.197629112135,0,1389.98836389745,10.2734240896247,0,1049.27541606114
2025,"S22","Fabricação de biocombustíveis",6891.73330160168,9461.44551322411,9461.44551322411,6.80284215686113,6.80284215685788,3460.3658273827,2569.71221162243,0,-9454.64267106725,-16296.9976794693,-0.00000000000325606208662066,3453.56298522584
2025,"S20","Biodiesel",1312.80134861288,1468.88842506571,1468.88842506571,0,0.000000000000227373675443232,1251.71793815769,156.087076452831,0,-1468.88842506571,-1418.17894125981,0.000000000000227373675443232,1251.71793815769
2025,"S43","Gás Natural",4140.85331622524,3733.00128914304,3733.00128914304,22.3106414996999,22.310641499701,2827.08328937108,-407.852027082198,0,-3710.69064764334,-4371.03511327507,0.00000000000105870867628255,2804.77264787138
2025,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",17860.9019893484,17823.4636879303,17823.4636879303,24798.9634947239,24798.9634947239,35091.1953593683,-37.4383014180348,0,6975.49980679355,5107.1561087154,0,10292.2318646444
2025,"S28","Fabricação de produtos de minerais não-metálicos",10615.4156254525,10625.9903493418,10625.9903493418,35117.7466913889,35117.7466913888,43968.1333694721,10.5747238893273,0,24491.756342047,22296.0122084018,-0.00000000000727595761418343,8850.38667808321
2030,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",53745.3537420094,52910.1953887792,64650.971389745,96831.9578914301,96831.9578914301,124848.05733246,-835.15835323021,11740.7760009658,32180.986501685,34835.2425643683,0,28016.0994410304
