"year","cod","sector","current_unconstrained_dx_Rbn","supplier_unconstrained_dx_Rbn","ndc_target_dx_Rbn","current_required_adjustment_Rbn","supplier_required_adjustment_Rbn","supplier_balancing_final_demand_Rbn"
2025,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",28.4163300871157,28.4163300871157,60.0211320700824,31.6048019829667,31.6048019829667,13.0323370410924
2025,"S19","Derivados de petróleo",53.6497436545642,53.6497436545642,134.73945909809,81.0897154435261,81.0897154435261,59.8678330847338
2025,"S40","Geração centralizada de energia elétrica",30.6649480188542,30.6649480188542,49.8632996449897,19.1983516261354,19.1983516261354,13.4681289062916
2025,"S42","Transmissão",2.21509513061367,2.21509513061367,3.60486603780641,1.38977090719275,1.38977090719275,0.0102734188104817
2025,"S22","Fabricação de biocombustíveis",9.46134087817755,9.46134087817755,0.00680284215686113,-9.45453803602069,-9.45453803602069,-16.2970287195269
2025,"S20","Biodiesel",1.46889135674066,1.46889135674066,0,-1.46889135674066,-1.46889135674066,-1.41818433211102
2025,"S43","Gás Natural",3.73134275404815,3.73134275404815,0.0223106414996999,-3.70903211254845,-3.70903211254845,-4.36928061341769
2025,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",17.8234681366669,17.8234681366669,24.7989634947239,6.97549535805696,6.97549535805696,5.10715229912191
2025,"S28","Fabricação de produtos de minerais não-metálicos",10.6260141311055,10.6260141311055,35.1177466913889,24.4917325602834,24.4917325602834,22.2960084549029
2030,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",64.6468628661299,65.1327532750481,96.8319578914301,32.1850950253001,31.6992046163819,34.6652882622392
2030,"S19","Derivados de petróleo",132.492655995617,133.306329124202,126.585022068929,-5.90763392668743,-6.72130705527235,-2.34597558159491
2030,"S40","Geração centralizada de energia elétrica",70.6883772921587,72.0850601531838,72.0589338780275,1.37055658586884,-0.0261262751562899,1.99255142041298
2030,"S42","Transmissão",88.1848756652895,5.2057193072181,5.20949887606447,-82.975376789225,0.00377956884636478,0.0063526958339274
2030,"S22","Fabricação de biocombustíveis",15.22889588132,15.3143130813096,0.0170874539215648,-15.2118084273985,-15.2972256273881,-14.8641239075673
2030,"S20","Biodiesel",4.07336437433088,4.14098886752361,0,-4.07336437433088,-4.14098886752361,-3.81853408965807
2030,"S43","Gás Natural",9.88382381309254,10.2183682361134,2.43181530218392,-7.45200851090862,-7.78655293392948,-7.29176903382938
2030,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",61.7687591576337,64.6635993865844,48.7376815801107,-13.031077577523,-15.9259178064737,-14.583576741401
2030,"S28","Fabricação de produtos de minerais não-metálicos",57.7929213728922,62.2647126373096,41.5109644132011,-16.2819569596912,-20.7537482241085,-18.9707418307806
2035,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",101.025116649586,99.3984544513197,75.300751757769,-25.724364891817,-24.0977026935507,20.3423147235407
2035,"S19","Derivados de petróleo",199.6950318531,192.509820839093,19.3470703489401,-180.347961504159,-173.162750490153,-123.919428406757
2035,"S40","Geração centralizada de energia elétrica",109.412992706304,109.962844966707,90.0009708689523,-19.4120218373519,-19.9618740977545,-12.5524981207701
2035,"S42","Transmissão",59.9980636594052,7.94219491905079,6.5066180049256,-53.4914456544796,-1.43557691412518,-0.00057414761051849
2035,"S22","Fabricação de biocombustíveis",29.2769995307639,28.9049570806371,3.88892238921581,-25.3880771415481,-25.0160346914213,-14.5851868443147
2035,"S20","Biodiesel",7.5401754455626,7.57207660614502,0.76376726976493,-6.77640817579767,-6.80830933638009,-6.08120750443122
2035,"S43","Gás Natural",13.5201311223295,13.6772527479828,8.90698816335781,-4.61314295897173,-4.77026458462497,-3.63867689727876
2035,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",96.662070222408,99.5933671618242,74.6262892599949,-22.035780962413,-24.9670779018292,-21.2912096999913
2035,"S28","Fabricação de produtos de minerais não-metálicos",62.1698425591595,64.0605317416597,44.9480304957596,-17.2218120633999,-19.1125012459002,-17.0510680460508
2040,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",122.405859456487,121.512080831583,12.5542159325224,-109.851643523965,-108.957864899061,-52.5965250178268
2040,"S19","Derivados de petróleo",251.815659686202,245.775542295844,-64.727041098087,-316.542700784289,-310.502583393931,-246.519073546358
2040,"S40","Geração centralizada de energia elétrica",170.834568384463,171.422820075666,165.028173640076,-5.80639474438725,-6.3946464355902,-0.322748950622624
2040,"S42","Transmissão",65.8584173158897,12.3783210902177,11.9307078085858,-53.9277095073039,-0.447613281631913,0.0137433997727681
2040,"S22","Fabricação de biocombustíveis",84.6010132415662,83.3609679531116,23.8822612254909,-60.7187520160753,-59.4787067276207,8.04308787226788
2040,"S20","Biodiesel",14.0104040963923,14.0327008093534,2.93161278749431,-11.078791308898,-11.1010880218591,-9.33333369378098
2040,"S43","Gás Natural",15.4796939029018,15.5876923718205,15.4687709348335,-0.010922968068302,-0.118921436986955,0.956195704027825
2040,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",126.835634632594,129.850213972904,100.610479763139,-26.2251548694548,-29.2397342097651,-22.9929090432898
2040,"S28","Fabricação de produtos de minerais não-metálicos",79.5643371541163,81.2984031371391,46.5379925328084,-33.0263446213079,-34.7604106043307,-31.1116106284434
2045,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",167.781538447093,166.932086166249,-51.5626882383065,-219.344226685399,-218.494774404556,-153.428162279047
2045,"S19","Derivados de petróleo",326.885515745448,321.575722890746,-23.4427564745793,-350.328272220028,-345.018479365325,-272.814897842635
2045,"S40","Geração centralizada de energia elétrica",240.959226284546,241.071174605396,180.355867786213,-60.6033584983323,-60.715306819183,-41.3915590307079
2045,"S42","Transmissão",23.7566816394453,17.405163958216,13.038823084925,-10.7178585545203,-4.36634087329097,-0.00303043911191129
2045,"S22","Fabricação de biocombustíveis",118.895805349231,117.75367155182,41.4046149539228,-77.4911903953085,-76.3490565978968,0.785088141737252
2045,"S20","Biodiesel",20.4714757521823,20.4605525648049,7.73539011350429,-12.736085638678,-12.7251624513006,-10.2975949495332
2045,"S43","Gás Natural",17.6915735508615,17.7086868785283,28.8141488755749,11.1225753247134,11.1054619970467,12.2435791897468
2045,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",140.464050021928,140.957162914022,128.64014268404,-11.8239073378881,-12.3170202299816,-5.07244237637309
2045,"S28","Fabricação de produtos de minerais não-metálicos",91.9153452804642,92.3291114713317,52.2697075305645,-39.6456377498997,-40.0594039407673,-35.3434281419072
2050,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",188.531164350772,186.103695912819,-130.70474769412,-319.235912044892,-316.808443606938,-275.627719154259
2050,"S19","Derivados de petróleo",387.306255337708,353.292986804109,-47.9645451778693,-435.270800515578,-401.257531981979,-352.594289194789
2050,"S40","Geração centralizada de energia elétrica",351.683812974334,352.118365970216,195.264447961933,-156.419365012402,-156.853918008283,-109.370313318541
2050,"S42","Transmissão",33.1915094584724,25.4142102176736,14.1166385269435,-19.0748709315289,-11.2975716907301,-0.027385853538846
2050,"S22","Fabricação de biocombustíveis",235.392793878158,221.812548493519,66.3863118901981,-169.00648198796,-155.426236603321,7.24155543486233
2050,"S20","Biodiesel",49.3393925016873,49.1251039443539,41.979835348158,-7.35955715352928,-7.14526859619589,-0.838078547685937
2050,"S43","Gás Natural",18.6630506381292,18.6750266460162,46.371061990931,27.7080113528018,27.6960353449148,29.3553952417363
2050,"S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",195.749549048775,197.280308778916,157.018682909839,-38.7308661389361,-40.2616258690768,-26.7620109206834
