"sector","sector_name","base_elec","base_bio","base_foss","base_total","y2050_elec","y2050_bio","y2050_foss","y2050_total","delta_elec","delta_bio","delta_foss"
"S48","Transporte terrestre",0.0000686240567879647,0.0147500594658865,0.185272663397419,0.200091346920093,0.00792891155525822,0.0806905019899338,0.111471933374901,0.200091346920093,0.00786028749847025,0.0659404425240473,-0.0738007300225176
"S51","Armazenamento, atividades auxiliares dos transportes e correio",0.00933777479070868,0.00106417732477517,0.0152684440196418,0.0256703961351257,0.0253182057538875,0.000136613932010042,0.000215576449228116,0.0256703961351257,0.0159804309631788,-0.000927563392765133,-0.0150528675704137
"S52","Alojamento",0.0518779942103387,0.000405465386009608,0.0072817411688755,0.0595652007652238,0.059090660836045,0.000474539929178791,0,0.0595652007652238,0.00721266662570632,0.0000690745431691835,-0.0072817411688755
