"group","year","sector","max_abs_coefficient_difference","sum_energy_coefficient_base","sum_energy_coefficient_current","sum_energy_coefficient_price_form"
"steel",2025,"S29",0,0.0391362695396469,0.0391362695396469,0.0391362695396469
"steel",2030,"S29",1.73472347597681e-18,0.0391362695396469,0.0391362695396469,0.0391362695396468
"steel",2035,"S29",6.93889390390723e-18,0.0391362695396469,0.0391362695396469,0.0391362695396469
"steel",2040,"S29",3.46944695195361e-18,0.0391362695396469,0.0391362695396469,0.0391362695396469
"steel",2045,"S29",2.16840434497101e-19,0.0391362695396469,0.0391362695396469,0.0391362695396469
"steel",2050,"S29",0,0.0391362695396469,0.0391362695396469,0.0391362695396469
"cement",2025,"S28",6.93889390390723e-18,0.0770594414640205,0.0770594414640205,0.0770594414640205
"cement",2030,"S28",6.93889390390723e-18,0.0770594414640205,0.0770594414640205,0.0770594414640205
"cement",2035,"S28",0,0.0770594414640205,0.0770594414640205,0.0770594414640205
"cement",2040,"S28",0,0.0770594414640205,0.0770594414640205,0.0770594414640205
"cement",2045,"S28",1.38777878078145e-17,0.0770594414640205,0.0770594414640205,0.0770594414640205
"cement",2050,"S28",0,0.0770594414640205,0.0770594414640205,0.0770594414640205
"chemicals",2025,"S24",3.46944695195361e-18,0.0220977037474858,0.0220977037474858,0.0220977037474859
"chemicals",2030,"S24",8.67361737988404e-19,0.0220977037474858,0.0220977037474858,0.0220977037474858
"chemicals",2035,"S24",0,0.0220977037474858,0.0220977037474858,0.0220977037474858
"chemicals",2040,"S24",3.46944695195361e-18,0.0220977037474858,0.0220977037474858,0.0220977037474858
"chemicals",2045,"S24",2.16840434497101e-19,0.0220977037474858,0.0220977037474858,0.0220977037474858
"chemicals",2050,"S24",2.16840434497101e-19,0.0220977037474858,0.0220977037474858,0.0220977037474858
"other_industry",2025,"S10",8.67361737988404e-19,0.024844917214746,0.024844917214746,0.0248449172147461
"other_industry",2025,"S11",4.33680868994202e-19,0.0199100016066714,0.0199100016066714,0.0199100016066714
"other_industry",2025,"S12",4.33680868994202e-19,0.00447142143527612,0.00447142143527612,0.00447142143527612
"other_industry",2025,"S13",1.73472347597681e-18,0.0284923305335254,0.0284923305335254,0.0284923305335254
"other_industry",2025,"S14",4.33680868994202e-19,0.00471304148091752,0.00471304148091752,0.00471304148091752
"other_industry",2025,"S15",1.73472347597681e-18,0.0105746073422878,0.0105746073422878,0.0105746073422878
"other_industry",2025,"S16",0,0.0377437405576891,0.0377437405576891,0.0377437405576891
"other_industry",2025,"S17",0,0.0378367925917874,0.0378367925917874,0.0378367925917874
"other_industry",2025,"S18",0,0.00751202896691255,0.00751202896691255,0.00751202896691255
"other_industry",2025,"S23",0,0.0869993130804171,0.0869993130804171,0.0869993130804171
"other_industry",2025,"S25",3.46944695195361e-18,0.0388141830974244,0.0388141830974244,0.0388141830974244
"other_industry",2025,"S26",0,0.0159227478099062,0.0159227478099062,0.0159227478099062
"other_industry",2025,"S27",1.73472347597681e-18,0.032796165984775,0.032796165984775,0.032796165984775
"other_industry",2025,"S30",6.93889390390723e-18,0.0685464459190078,0.0685464459190078,0.0685464459190078
"other_industry",2025,"S31",0,0.0165293736448482,0.0165293736448482,0.0165293736448482
"other_industry",2025,"S32",2.71050543121376e-20,0.00364819657863035,0.00364819657863035,0.00364819657863035
"other_industry",2025,"S33",1.73472347597681e-18,0.0139643431909737,0.0139643431909737,0.0139643431909737
"other_industry",2025,"S34",8.67361737988404e-19,0.00844192860146033,0.00844192860146033,0.00844192860146033
"other_industry",2025,"S35",0,0.0088606668751547,0.0088606668751547,0.0088606668751547
"other_industry",2025,"S36",2.71050543121376e-20,0.015631755228098,0.015631755228098,0.015631755228098
"other_industry",2025,"S37",8.67361737988404e-19,0.00849615290626742,0.00849615290626742,0.00849615290626742
"other_industry",2025,"S38",0,0.00878969762194398,0.00878969762194398,0.00878969762194398
"other_industry",2025,"S39",0,0.00833081505142257,0.00833081505142257,0.00833081505142257
"other_industry",2030,"S10",8.67361737988404e-19,0.024844917214746,0.024844917214746,0.024844917214746
"other_industry",2030,"S11",1.73472347597681e-18,0.0199100016066714,0.0199100016066714,0.0199100016066714
"other_industry",2030,"S12",4.33680868994202e-19,0.00447142143527612,0.00447142143527612,0.00447142143527612
"other_industry",2030,"S13",0,0.0284923305335254,0.0284923305335254,0.0284923305335254
"other_industry",2030,"S14",4.33680868994202e-19,0.00471304148091752,0.00471304148091752,0.00471304148091752
"other_industry",2030,"S15",0,0.0105746073422878,0.0105746073422878,0.0105746073422878
"other_industry",2030,"S16",0,0.0377437405576891,0.0377437405576891,0.0377437405576891
"other_industry",2030,"S17",3.46944695195361e-18,0.0378367925917874,0.0378367925917874,0.0378367925917874
"other_industry",2030,"S18",4.33680868994202e-19,0.00751202896691255,0.00751202896691255,0.00751202896691255
"other_industry",2030,"S23",1.73472347597681e-18,0.0869993130804171,0.0869993130804171,0.0869993130804172
"other_industry",2030,"S25",4.33680868994202e-19,0.0388141830974244,0.0388141830974244,0.0388141830974244
"other_industry",2030,"S26",2.16840434497101e-19,0.0159227478099062,0.0159227478099062,0.0159227478099062
"other_industry",2030,"S27",3.46944695195361e-18,0.032796165984775,0.032796165984775,0.032796165984775
"other_industry",2030,"S30",0,0.0685464459190078,0.0685464459190078,0.0685464459190078
"other_industry",2030,"S31",0,0.0165293736448482,0.0165293736448482,0.0165293736448482
"other_industry",2030,"S32",2.16840434497101e-19,0.00364819657863035,0.00364819657863035,0.00364819657863035
"other_industry",2030,"S33",8.67361737988404e-19,0.0139643431909737,0.0139643431909737,0.0139643431909737
"other_industry",2030,"S34",0,0.00844192860146033,0.00844192860146034,0.00844192860146034
"other_industry",2030,"S35",8.67361737988404e-19,0.0088606668751547,0.0088606668751547,0.0088606668751547
"other_industry",2030,"S36",1.73472347597681e-18,0.015631755228098,0.015631755228098,0.015631755228098
"other_industry",2030,"S37",5.42101086242752e-20,0.00849615290626742,0.00849615290626742,0.00849615290626742
"other_industry",2030,"S38",8.67361737988404e-19,0.00878969762194398,0.00878969762194398,0.00878969762194398
"other_industry",2030,"S39",8.67361737988404e-19,0.00833081505142257,0.00833081505142257,0.00833081505142257
"other_industry",2035,"S10",0,0.024844917214746,0.024844917214746,0.024844917214746
"other_industry",2035,"S11",0,0.0199100016066714,0.0199100016066714,0.0199100016066714
"other_industry",2035,"S12",4.33680868994202e-19,0.00447142143527612,0.00447142143527612,0.00447142143527612
"other_industry",2035,"S13",1.73472347597681e-18,0.0284923305335254,0.0284923305335254,0.0284923305335254
"other_industry",2035,"S14",3.3881317890172e-21,0.00471304148091752,0.00471304148091752,0.00471304148091752
"other_industry",2035,"S15",6.7762635780344e-21,0.0105746073422878,0.0105746073422878,0.0105746073422878
"other_industry",2035,"S16",2.16840434497101e-19,0.0377437405576891,0.0377437405576891,0.0377437405576891
"other_industry",2035,"S17",3.46944695195361e-18,0.0378367925917874,0.0378367925917874,0.0378367925917874
"other_industry",2035,"S18",0,0.00751202896691255,0.00751202896691255,0.00751202896691255
"other_industry",2035,"S23",8.67361737988404e-19,0.0869993130804171,0.0869993130804171,0.0869993130804171
"other_industry",2035,"S25",2.16840434497101e-19,0.0388141830974244,0.0388141830974244,0.0388141830974244
"other_industry",2035,"S26",2.16840434497101e-19,0.0159227478099062,0.0159227478099062,0.0159227478099062
"other_industry",2035,"S27",1.73472347597681e-18,0.032796165984775,0.032796165984775,0.032796165984775
"other_industry",2035,"S30",0,0.0685464459190078,0.0685464459190078,0.0685464459190078
"other_industry",2035,"S31",1.73472347597681e-18,0.0165293736448482,0.0165293736448482,0.0165293736448482
"other_industry",2035,"S32",5.42101086242752e-20,0.00364819657863035,0.00364819657863035,0.00364819657863035
"other_industry",2035,"S33",0,0.0139643431909737,0.0139643431909737,0.0139643431909737
"other_industry",2035,"S34",8.67361737988404e-19,0.00844192860146033,0.00844192860146033,0.00844192860146033
"other_industry",2035,"S35",0,0.0088606668751547,0.0088606668751547,0.0088606668751547
"other_industry",2035,"S36",0,0.015631755228098,0.015631755228098,0.015631755228098
"other_industry",2035,"S37",0,0.00849615290626742,0.00849615290626742,0.00849615290626742
"other_industry",2035,"S38",0,0.00878969762194398,0.00878969762194398,0.00878969762194398
"other_industry",2035,"S39",8.67361737988404e-19,0.00833081505142257,0.00833081505142257,0.00833081505142257
"other_industry",2040,"S10",8.67361737988404e-19,0.024844917214746,0.024844917214746,0.024844917214746
"other_industry",2040,"S11",8.67361737988404e-19,0.0199100016066714,0.0199100016066714,0.0199100016066714
"other_industry",2040,"S12",4.33680868994202e-19,0.00447142143527612,0.00447142143527612,0.00447142143527612
"other_industry",2040,"S13",0,0.0284923305335254,0.0284923305335254,0.0284923305335254
"other_industry",2040,"S14",6.50521303491303e-19,0.00471304148091752,0.00471304148091752,0.00471304148091752
"other_industry",2040,"S15",8.67361737988404e-19,0.0105746073422878,0.0105746073422878,0.0105746073422878
"other_industry",2040,"S16",0,0.0377437405576891,0.0377437405576891,0.0377437405576891
