"year","current_unconstrained_output_Rbn","energy_only_unconstrained_output_Rbn","delta_unconstrained_output_Rbn","current_unconstrained_va_Rbn","energy_only_unconstrained_va_Rbn","delta_unconstrained_va_Rbn","current_hard_output_Rbn","energy_only_hard_output_Rbn","delta_hard_output_Rbn","current_hard_va_Rbn","energy_only_hard_va_Rbn","delta_hard_va_Rbn"
2025,1520.19834502302,1520.18995273287,-0.0083922901484184,760.767940551626,760.763719265433,-0.00422128619346768,1716.19446603543,1716.19446603543,0,816.768533899868,816.768533899868,0
2030,4183.10448325071,4183.18660286462,0.0821196139091626,1981.31842968042,1981.32521587435,0.00678619393706322,4016.21360009224,4016.21360009224,0,1908.82352830306,1908.82352830306,0.00000000000023283064365387
2035,6115.40728848535,6115.47233850226,0.0650500169051811,2915.66068111075,2915.64105870943,-0.0196224013231695,5630.42184875604,5630.42184875604,-0.000000000000931322574615479,2770.07665428394,2770.07665428394,0
2040,8745.27966086964,8746.87674533553,1.59708446588926,4231.45391065995,4231.76613042417,0.312219764217734,7882.30515984194,7882.30515984194,0.000000000000931322574615479,3973.13097886518,3973.13097886518,0.000000000000465661287307739
2045,11255.6641985888,11260.2150408892,4.55084230046347,5561.83797667133,5562.81467042347,0.976693752139807,10170.770177065,10170.770177065,0,5227.48999858094,5227.48999858094,0
2050,15559.3993927442,15578.9482662911,19.5488735469617,7645.81300289839,7650.45665392709,4.64365102869272,13819.4675083464,13819.4675083464,0.00000000000372529029846191,7085.59752826625,7085.59752826625,0.000000000000931322574615479
