"block","sector","sector_name","a_electricity","a_bio","a_fossil","a_energy_total","share_electricity_in_energy_coef","share_bio_in_energy_coef","share_fossil_in_energy_coef"
"steel","S29","Produção de ferro-gusa/ferroligas, siderurgia e tubos de aço sem costura",0.0143755376451335,0.00038098157987671,0.0243797503146366,0.0391362695396469,0.36732007966601,0.00973474437799335,0.622945175955997
"cement","S28","Fabricação de produtos de minerais não-metálicos",0.0374566878248798,0.000779866900093928,0.0388228867390467,0.0770594414640205,0.486075257142482,0.0101203289989852,0.503804413858532
"chemicals","S24","Fabricação de defensivos, desinfestantes, tintas e químicos diversos",0.00313211423673136,0.00368811216941344,0.015277477341341,0.0220977037474858,0.141739353216178,0.166900245000934,0.691360401782888
"other_industry","S10","Outros produtos alimentares",0.00654879828168415,0.00347171778241736,0.0148244011506445,0.024844917214746,0.263587043783639,0.139735534331216,0.596677421885145
"other_industry","S11","Fabricação de bebidas",0.00533352299089854,0.00278310563337157,0.0117933729824013,0.0199100016066714,0.267881595203458,0.139784299788254,0.592334105008288
"other_industry","S12","Fabricação de produtos do fumo",0.00210404550636545,0.0000905425476408779,0.00227683338126979,0.00447142143527612,0.470554059111075,0.0202491643768056,0.509196776512119
"other_industry","S13","Fabricação de produtos têxteis",0.0157722858803661,0.0000272788756322113,0.0126927657775271,0.0284923305335254,0.553562505594538,0.00095741117421454,0.445480083231248
"other_industry","S14","Confecção de artefatos do vestuário e acessórios",0.00209218137698056,0.0000151746215679243,0.00260568548236904,0.00471304148091752,0.443913210917307,0.00321970889273186,0.552867080189961
"other_industry","S15","Fabricação de calçados e de artefatos de couro",0.00401552208606011,0.0000265996080100699,0.0065324856482176,0.0105746073422878,0.379732500326709,0.00251542276219545,0.617752076911096
"other_industry","S16","Fabricação de produtos da madeira",0.018828847368849,0.000844554769316198,0.018070338419524,0.0377437405576891,0.498860131259915,0.0223760220062276,0.478763846733857
"other_industry","S17","Fabricação de celulose, papel e produtos de papel",0.0120746735062739,0.000414577176093327,0.0253475419094201,0.0378367925917874,0.319125186866256,0.0109569851907403,0.669917827943003
"other_industry","S18","Impressão e reprodução de gravações",0.00401389013794291,0.00010761653319121,0.00339052229577842,0.00751202896691255,0.534328362633115,0.0143258943309747,0.45134574303591
"other_industry","S23","Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros",0.0100640403783983,0.00214365467060412,0.0747916180314148,0.0869993130804171,0.115679538401592,0.0246399034050148,0.859680558193393
"other_industry","S25","Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal",0.00176882119996192,0.0252820827845017,0.0117632791129608,0.0388141830974244,0.045571516873668,0.651361970469483,0.303066512656849
"other_industry","S26","Fabricação de produtos farmoquímicos e farmacêuticos",0.00166681451051739,0.0095631210745664,0.00469281222482244,0.0159227478099062,0.104681335810669,0.60059489660552,0.294723767583811
"other_industry","S27","Fabricação de produtos de borracha e de material plástico",0.00768435438749842,0.000554366955580029,0.0245574446416966,0.032796165984775,0.234306485430819,0.0169034074238246,0.748790107145356
"other_industry","S30","Metalurgia de metais não-ferosos e a fundição de metais",0.0276137526015847,0.000221346555407759,0.0407113467620154,0.0685464459190078,0.402847328280334,0.00322914707597379,0.593923524643692
"other_industry","S31","Fabricação de produtos de metal, exceto máquinas e equipamentos",0.00931078167002744,0.000525899285051748,0.00669269268976902,0.0165293736448482,0.563287022852761,0.0318160443554168,0.404896932791822
"other_industry","S32","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",0.00124508776903008,0.000157166390643501,0.00224594241895677,0.00364819657863035,0.341288563320107,0.0430805707028283,0.615630865977065
"other_industry","S33","Fabricação de máquinas e equipamentos elétricos",0.00549005170939951,0.000250605149584319,0.00822368633198988,0.0139643431909737,0.393147864838224,0.0179460749536939,0.588906060208082
"other_industry","S34","Fabricação de máquinas e equipamentos mecânicos",0.00367253862249636,0.000343360114680314,0.00442602986428366,0.00844192860146033,0.43503549909923,0.0406731839239812,0.524291316976788
"other_industry","S35","Fabricação de automóveis, caminhões e ônibus, exceto peças",0.00243251298601322,0.000432560548838709,0.00599559334030277,0.0088606668751547,0.274529335126454,0.04881805793327,0.676652606940275
"other_industry","S36","Fabricação de peças e acessórios para veículos automotores",0.00934795733009887,0.000169512308628007,0.00611428558937107,0.015631755228098,0.598010728398305,0.0108440994728033,0.391145172128892
"other_industry","S37","Fabricação de outros equipamentos de transporte, exceto veículos automotores",0.00461997920309075,0.000178586550020051,0.00369758715315662,0.00849615290626742,0.543773076362914,0.0210196958541449,0.435207227782941
"other_industry","S38","Fabricação de móveis e de produtos de indústrias diversas",0.00391702271683647,0.000261076728083126,0.00461159817702439,0.00878969762194398,0.445637937197907,0.0297025835600229,0.52465947924207
"other_industry","S39","Manutenção, reparação e instalação de máquinas e equipamentos",0.00285092431646552,0.000405278669022358,0.00507461206593469,0.00833081505142257,0.342214333035601,0.0486481414508359,0.609137525513563
"road_transport","S48","Transporte terrestre",0.0000686240567879647,0.0147500594658865,0.185272663397419,0.200091346920093,0.000342963640578469,0.0737166283946149,0.925940407964807
"road_transport","S51","Armazenamento, atividades auxiliares dos transportes e correio",0.00933777479070868,0.00106417732477517,0.0152684440196418,0.0256703961351257,0.363756552160544,0.0414554305735479,0.594788017265908
"maritime","S49","Transporte aquaviário",0.00284041861281119,0.000227421679299593,0.0724184706130773,0.0754863109051881,0.0376282610548924,0.00301275392283031,0.959358985022277
"aviation","S50","Transporte aéreo",0.00104671806845235,0.00113022301506404,0.149844214770487,0.152021155854003,0.00688534475726256,0.00743464295291558,0.985680012289822
"cities_buildings","S52","Alojamento",0.0518779942103387,0.000405465386009608,0.0072817411688755,0.0595652007652238,0.870944671450295,0.0068070850228097,0.122248243526895
"cities_buildings","S53","Alimentação",0.00740742794978051,0.000968746157935684,0.00880009763300831,0.0171762717407245,0.431259359516168,0.056400258016343,0.512340382467489
"cities_buildings","S59","Atividades imobiliárias",0.00116601666676994,0.0000242085949822569,0.000251927624495679,0.00144215288624787,0.808525003062349,0.0167864275785917,0.17468856935906
"cities_buildings","S66","Administração pública, defesa e seguridade social",0.0060617025699964,0.000643042439885739,0.00323815870860574,0.00994290371848788,0.609651138301303,0.0646735056571113,0.325675356041585
"cities_buildings","S67","Educação pública",0.0048009665262481,0.000222815724894337,0.0013675051800504,0.00639128743119283,0.751173621580038,0.0348624165777429,0.213963961842219
"cities_buildings","S68","Educação privada",0.0166001868480339,0.000104419546685827,0.00223851809993792,0.0189431244946577,0.876317254459025,0.00551226629563012,0.118170479245344
"cities_buildings","S69","Saúde pública",0.00550187875678681,0.000158436794583068,0.000871759066862854,0.00653207461823273,0.842286574839428,0.0242552028020055,0.133458222358567
"cities_buildings","S70","Saúde privada",0.00616111306404382,0.000311939444012817,0.00164983247258756,0.0081228849806442,0.758488280792473,0.0384025435243918,0.203109175683135
