"year","va_premium_observed_Rbn","va_premium_full_domestic_Rbn","recoverable_va_from_zero_import_leakage_Rbn","output_premium_observed_Rbn","output_premium_full_domestic_Rbn"
2025,37.0882115548366,37.0882115548366,0,196.703316797749,196.703316797749
2030,672.81747440945,712.667465892872,39.8499914834218,1682.28487749566,1800.28180671555
2035,547.17310016241,615.962222509272,68.7891223468627,1381.49661336197,1580.84377848641
2040,481.83209100315,554.963917527562,73.1318265244123,1163.23167251877,1376.23604822447
2045,124.111889780696,149.407209079492,25.2953192987964,282.896462736431,358.369994851818
2050,259.445734539894,302.726064914849,43.2803303749543,634.114558645599,763.09902773446
