"sector","sector_name","petroleum_coef","gas_coef","fossil_coef","electricity_coef","bio_coef","total_energy_coef","petroleum_share_energy_spend","fossil_share_energy_spend","electricity_share_energy_spend","bio_share_energy_spend","physical_petroleum_ktep_per_Rm","physical_gas_ktep_per_Rm","physical_fossil_ktep_per_Rm","physical_electricity_ktep_per_Rm","physical_bio_ktep_per_Rm","physical_total_energy_ktep_per_Rm","physical_petroleum_share","physical_fossil_share","physical_electricity_share","physical_bio_share","total_energy_coef_relative_to_S48","physical_energy_intensity_relative_to_S48"
"S48","Transporte terrestre",0.181377809939078,0.00389485345834021,0.185272663397419,0.0000686240567879647,0.0147500594658865,0.200091346920093,0.906475031184192,0.925940407964807,0.00034296364057847,0.0737166283946149,0.140838804971974,0.00488027747603481,0.145719082448009,0.000424431051472782,0.0481216536720854,0.194265167171567,0.724982285926694,0.750104017975162,0.00218480264708465,0.247711179377754,1,1
"S51","Armazenamento, atividades auxiliares dos transportes e correio",0.0144360110608682,0.00083243295877361,0.0152684440196418,0.00933777479070868,0.00106417732477517,0.0256703961351257,0.562360276206059,0.594788017265908,0.363756552160544,0.0414554305735479,0.000172973909860786,0.000018170334493505,0.000191144244354291,0.0013042273459562,0.0000010336584142039,0.00149640524872469,0.115592958530587,0.127735614745533,0.871573624235629,0.000690761018838201,0.128293384647849,0.00770290047625022
"S52","Alojamento",0.00304425219232807,0.00423748897654743,0.0072817411688755,0.0518779942103387,0.000405465386009608,0.0595652007652238,0.051107897786276,0.122248243526895,0.870944671450295,0.0068070850228097,0.000036476572516396,0.0000924958476293912,0.000128972420145787,0.00724591245976559,0.0000000805003983551103,0.00737496538030974,0.0049459991519125,0.0174878678739466,0.982501216766563,0.0000109153594903695,0.297690038485329,0.0379633955365579
