"year","transition_job_equiv_raw","transition_job_equiv_NTcalibrated","NT_to_raw_ratio"
2025,16862.4259391744,6744.97037566919,0.399999999999967
2030,12273312.3609135,4909324.94436538,0.4
2035,9468751.35271136,3787500.54108455,0.4
2040,8942506.40836266,3577002.56334506,0.4
2045,4140824.04041001,1656329.616164,0.399999999999999
2050,8356715.56131989,3342686.22452796,0.4
