"year","repo_transition_output_Rbn","repo_transition_va_Rbn","repo_transition_emp_raw","audit_current_output_Rbn","audit_current_va_Rbn","audit_current_emp_raw","allGDP_output_Rbn","allGDP_va_Rbn","allGDP_emp_raw","baseline_freeze_bias_output_Rbn","baseline_freeze_bias_va_Rbn"
2025,308.15,74.16,313238,308.151092239945,74.1544333030316,313255.138827372,196.703316797749,37.0882115548366,16862.4259391744,111.447775442196,37.066221748195
2030,1880,738.58,12799125,1880.00903544371,738.578208119911,12799155.0647739,1682.28487749566,672.81747440945,12273312.3609135,197.724157948048,65.7607337104611
2035,1727.09,662.12,10387814,1727.09696699784,662.115720535898,10387867.28825,1381.49661336197,547.17310016241,9468751.35271137,345.600353635875,114.942620373488
2040,1702.48,661.19,10376592,1702.49874441224,661.185988279194,10376674.3832334,1163.23167251877,481.83209100315,8942506.40836266,539.267071893468,179.353897276044
2045,1058.06,381.94,6202292,1058.08142544345,381.929307935153,6202410.04493318,282.896462736431,124.111889780696,4140824.04041001,775.184962707017,257.817418154458
2050,1680.08,607.34,11138342,1680.10487540827,607.329834278604,11138501.9757188,634.114558645599,259.445734539894,8356715.56131992,1045.99031676267,347.88409973871
