"year","variant","marine_ratio","aviation_ratio","spectral_radius_A","condition_number_I_minus_A","unconstrained_output_diff_Rbn","unconstrained_va_diff_Rbn","hard_output_diff_Rbn","hard_va_diff_Rbn"
2025,"parity_current",1,1,0.454873103623285,8.36198815784633,-0.126151879329002,-0.0472415606437717,195.862313923791,55.9551784812127
2025,"anp_b100_proxy",1.72140714940105,1.24212989742478,0.454873103623285,8.36198815784633,-0.126151879329002,-0.0472415606437717,195.862313923791,55.9551784812127
2030,"parity_current",1,1,0.453219498652305,8.35143195794399,1485.88397909256,631.493714281005,1318.90354081153,559.023183033066
2030,"anp_b100_proxy",1.72140714940105,1.24212989742478,0.453219498652305,8.35143195794399,1485.88397909256,631.493714281005,1318.90354081153,559.023183033066
2035,"parity_current",1,1,0.453582328061148,8.35350917019748,1401.13804486934,556.23166353226,915.743758945094,410.744554864191
2035,"anp_b100_proxy",1.72140714940105,1.24212989742478,0.453679949328868,8.35511656459588,1401.47777093885,556.345666316162,915.743758945094,410.744554864191
2040,"parity_current",1,1,0.456829195115794,6.88428079038465,1389.38412397767,549.890086715706,525.620999170033,291.679680150329
2040,"anp_b100_proxy",1.72140714940105,1.24212989742478,0.457128306226196,6.89081803892178,1391.15523733855,550.484882123812,525.620999170034,291.679680150329
2045,"parity_current",1,1,0.456059563501606,6.87998908269172,681.699911655784,269.690551039878,-404.291779804392,-64.5122626978383
2045,"anp_b100_proxy",1.72140714940105,1.24212989742478,0.456438546843149,6.8885275559769,685.093852974808,270.830986112808,-404.291779804392,-64.5122626978383
2050,"parity_current",1,1,0.455603732576136,6.88942648377692,1291.67569219266,504.946006617927,-449.919431998411,-55.1289584344504
2050,"anp_b100_proxy",1.72140714940105,1.24212989742478,0.455986247977451,6.8994638375758,1297.13185548519,506.782621488024,-449.919431998411,-55.1289584344504
