"year","baseline_output_Rbn","rewiring_effect_output_Rbn","investment_effect_after_rewiring_output_Rbn","ndc_constraint_adjustment_output_Rbn","final_transition_output_differential_Rbn","baseline_va_Rbn","rewiring_effect_va_Rbn","investment_effect_after_rewiring_va_Rbn","ndc_constraint_adjustment_va_Rbn","final_transition_va_differential_Rbn"
2025,1520.33237566567,-0.129013101309771,0,195.98846580312,195.85945270181,760.81116925544,-0.0460553252106765,0,56.0024200418565,55.9563647166458
2030,2697.2852314631,-1.4624450007854,1487.34134787981,-166.980438281037,1318.89846459798,1349.78690423952,-0.472086369668134,631.967905200551,-72.4705312479394,559.025287582943
2035,4714.561637407,-3.16097171345353,1404.29014391284,-485.394285924241,915.734886275142,2359.28091073636,-0.901712020869832,557.137054077745,-145.487108668069,410.748233388806
2040,7356.49666650639,2.0755217081029,1387.29475755357,-863.763124807636,525.607154454035,3681.36923218379,2.66653895500442,547.229287648341,-258.210406565377,291.685420037968
2045,10574.8077182925,0.311700154567137,681.368310016006,-1085.99169146018,-404.311681289602,5291.89008507627,4.41702618979197,265.281775816661,-334.202813737717,-64.5040117312632
2050,14269.0415927762,12.6486749908943,1279.00016327422,-1741.59512419107,-449.946285925951,7140.57425344333,16.0797117199404,488.877428281059,-560.074965052377,-55.1178250513785
