"year","gross_output_2018_Rbn","allGDP_baseline_output_Rbn","NDC_output_Rbn","output_premium_Rbn","output_premium_pct","current_baseline_output_Rbn","current_output_premium_pct","value_added_2018_Rbn","allGDP_baseline_va_Rbn","NDC_va_Rbn","va_premium_Rbn","va_premium_pct","current_baseline_va_Rbn","current_va_premium_pct","employment_2018","allGDP_baseline_employment","NDC_employment_job_equiv","employment_premium_raw","employment_premium_pct_raw","current_baseline_employment"
2025,12010.0097515263,13530.342127192,13727.0425827677,196.700455575769,1.45377296247712,13418.8943470542,2.29637575007229,6011.15,6771.96116925544,6809.05056704571,37.0893977902698,0.54769064475229,6734.89494896865,1.10106569796486,104340275,117549759.983839,117566605.365759,16845.3819203842,0.0143304264702031,117253367.244409
2030,12010.0097515263,14707.2949829894,16389.5747842715,1682.27980128212,11.4384038888719,14509.5708167107,12.9569922591759,6011.15,7360.93690423951,8033.75648319884,672.819578959327,9.14040682201499,7295.17617312179,10.1242285662444,104340275,127775774.587083,140049056.70949,12273282.1224071,9.60532789730225,127249931.836134
2035,12010.0097515263,16724.5713889333,18106.0591296253,1381.48774069201,8.26022807141204,16378.9710207363,10.5445458490796,6011.15,8370.43091073636,8917.60768942338,547.176778687024,6.53702042967927,8255.48829489469,8.02035410719624,104340275,145302982.991693,154771681.49078,9468698.49908645,6.51652037978309,144383866.97385
2040,12010.0097515263,19366.5064180327,20529.7242458355,1163.21782780277,6.00633796666429,18827.2393234184,9.04266893925035,6011.15,9692.51923218379,10174.3570630746,481.837830890789,4.97123419978221,9513.1653419791,6.95028097722443,104340275,168257569.537208,177199993.473955,8942423.93674696,5.31472311251319,166823401.433911
2045,12010.0097515263,22584.8174698188,22867.69403107,282.876561251223,1.2525076265471,21809.6324744511,4.85134977794069,6011.15,11303.0400850763,11427.1602258235,124.120140747271,1.09811289540723,11045.2226770867,3.45794340144123,104340275,196220028.399717,200360733.888931,4140705.48921402,2.11023590353328,194158442.210583
2050,12010.0097515263,26279.0513443025,26913.1390490206,634.087704718059,2.41290180688175,25233.0609834693,6.65824121239945,6011.15,13151.7242534433,13411.1811213663,259.456867922966,1.97279735282647,12803.8401674206,4.74342811222446,104340275,228317566.854369,236674122.449475,8356555.59510663,3.66005809812997,225535780.190867
