"sector","sector_name","electricity_coef","bio_coef","fossil_coef","total_energy_coef"
"S52","Alojamento",0.0518779942103387,0.000405465386009608,0.0072817411688755,0.0595652007652238
"S53","Alimentação",0.00740742794978051,0.000968746157935684,0.00880009763300831,0.0171762717407245
"S59","Atividades imobiliárias",0.00116601666676994,0.0000242085949822569,0.000251927624495679,0.00144215288624787
"S66","Administração pública, defesa e seguridade social",0.0060617025699964,0.000643042439885739,0.00323815870860574,0.00994290371848788
"S67","Educação pública",0.0048009665262481,0.000222815724894337,0.0013675051800504,0.00639128743119283
"S68","Educação privada",0.0166001868480339,0.000104419546685827,0.00223851809993792,0.0189431244946577
"S69","Saúde pública",0.00550187875678681,0.000158436794583068,0.000871759066862854,0.00653207461823273
"S70","Saúde privada",0.00616111306404382,0.000311939444012817,0.00164983247258756,0.0081228849806442
