"year","cod","sector","baseline_dx_Rm","rewiring_dx_Rm","unconstrained_dx_Rm","ndc_target_dx_Rm","hard_constrained_dx_Rm","current_engine3_dx_Rm","rewiring_effect_Rm","investment_effect_after_rewiring_Rm","required_constraint_adjustment_Rm","balancing_final_demand_Rm","hard_constraint_error_Rm","current_engine3_error_Rm"
2025,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",30293.7191745414,28412.5542918341,28412.5542918341,60021.1320700823,60021.1320700823,68493.0242304669,-1881.16488270725,0,31608.5777782482,13032.3367911529,-0.00000000000727595761418343,8471.89216038456
2030,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",53745.3537420094,52862.5375624735,64591.0903340033,96831.9578914301,96831.9578914301,124791.374152794,-882.816179535977,11728.5527715298,32240.8675574268,34835.2382542067,0,27959.416261364
2035,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",93941.0411569643,89910.7132832112,100784.634643865,75300.751757769,75300.751757769,112999.79179501,-4030.32787375308,10873.921360654,-25483.8828860962,20409.0021206165,0,37699.0400372413
2040,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",146583.502193735,115207.641059323,122157.45322416,12554.2159325224,12554.2159325224,47898.9173523885,-31375.8611344116,6949.81216483717,-109603.237291638,-52535.9073760313,-0.000000000012732925824821,35344.7014198661
2045,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",210710.671212578,163195.559177165,167442.726524117,-51562.6882383065,-51562.6882383065,-8390.54618599117,-47515.1120354135,4247.1673469517,-219005.414762423,-153414.952794881,0.0000000000291038304567337,43172.1420523153
2050,"S05","Extração de petróleo e gás, inclusive as atividades de apoio",284320.945748558,181677.763914427,188351.487899339,-130704.74769412,-130704.747694119,-89257.3939568657,-102643.18183413,6673.72398491151,-319056.235593458,-275569.349304605,0.000000000116415321826935,41447.3537372539
